,CVX,EA,EDU,TSLA
2018-12-31,101.83966827392578,78.91000366210938,54.810001373291016,332.79998779296875
2019-01-02,103.6182861328125,80.37000274658203,55.310001373291016,310.1199951171875
2019-01-03,101.63372802734375,78.70999908447266,53.95000076293945,300.3599853515625
2019-01-04,103.73997497558594,84.41999816894531,56.56999969482422,317.69000244140625
2019-01-07,105.0879898071289,87.58999633789062,58.619998931884766,334.9599914550781
2019-01-08,104.62928771972656,89.0199966430664,58.7400016784668,335.3500061035156
2019-01-09,106.033447265625,88.91000366210938,62.97999954223633,338.5299987792969
2019-01-10,106.20195007324219,91.01000213623047,61.9900016784668,344.9700012207031
2019-01-11,105.35009765625,90.69999694824219,60.689998626708984,347.260009765625
2019-01-14,104.58247375488281,88.58000183105469,60.279998779296875,334.3999938964844
2019-01-15,104.9569320678711,89.48999786376953,62.91999816894531,344.42999267578125
2019-01-16,104.28292846679688,89.91999816894531,63.83000183105469,346.04998779296875
2019-01-17,104.80714416503906,89.30999755859375,64.16999816894531,347.30999755859375
2019-01-18,107.06317901611328,92.5199966430664,65.9000015258789,302.260009765625
2019-01-22,105.16287231445312,91.30999755859375,71.02999877929688,298.9200134277344
2019-01-23,104.27356719970703,89.12999725341797,72.80999755859375,287.5899963378906
2019-01-24,106.25812530517578,91.4800033569336,73.9800033569336,291.510009765625
2019-01-25,105.98664093017578,91.73999786376953,77.48999786376953,297.0400085449219
2019-01-28,105.00373077392578,90.47000122070312,75.77999877929688,296.3800048828125
2019-01-29,104.68545532226562,87.23999786376953,75.08999633789062,297.4599914550781
2019-01-30,105.79007720947266,89.2300033569336,75.58000183105469,308.7699890136719
2019-01-31,107.32527923583984,92.23999786376953,77.04000091552734,307.0199890136719
2019-02-01,110.80763244628906,91.22000122070312,75.69999694824219,312.2099914550781
2019-02-04,112.09010314941406,88.43000030517578,76.79000091552734,312.8900146484375
2019-02-05,111.84672546386719,92.5199966430664,78.66000366210938,321.3500061035156
2019-02-06,111.28504943847656,80.20999908447266,78.62999725341797,317.2200012207031
2019-02-07,110.67657470703125,84.0999984741211,76.81999969482422,307.510009765625
2019-02-08,110.06809997558594,97.5999984741211,77.5999984741211,305.79998779296875
2019-02-11,109.47834777832031,97.23999786376953,79.01000213623047,312.8399963378906
2019-02-12,111.13525390625,102.33000183105469,77.44000244140625,311.80999755859375
2019-02-13,111.93096160888672,102.25,78.73999786376953,308.1700134277344
2019-02-14,111.72293853759766,105.25,77.06999969482422,303.7699890136719
2019-02-15,112.84811401367188,106.83999633789062,77.52999877929688,307.8800048828125
2019-02-19,112.81029510498047,102.95999908447266,76.81999969482422,305.6400146484375
2019-02-20,113.72744750976562,98.62999725341797,79.27999877929688,302.55999755859375
2019-02-21,112.64955139160156,96.86000061035156,78.37999725341797,291.2300109863281
2019-02-22,112.88593292236328,95.91999816894531,80.61000061035156,294.7099914550781
2019-02-25,113.10342407226562,95.86000061035156,82.37999725341797,298.7699890136719
2019-02-26,113.4059829711914,98.5,83.70999908447266,297.8599853515625
2019-02-27,113.5383529663086,97.83999633789062,81.62999725341797,314.739990234375
2019-02-28,113.06558990478516,95.77999877929688,82.05999755859375,319.8800048828125
2019-03-01,115.38211059570312,97.41000366210938,82.7699966430664,294.7900085449219
2019-03-04,115.46721649169922,97.29000091552734,82.83000183105469,285.3599853515625
2019-03-05,116.57347106933594,95.72000122070312,83.0,276.5400085449219
2019-03-06,116.80039978027344,94.7699966430664,82.19999694824219,276.239990234375
2019-03-07,115.2970199584961,99.36000061035156,79.44999694824219,276.5899963378906
2019-03-08,114.99445343017578,98.36000061035156,79.0199966430664,284.1400146484375
2019-03-11,116.885498046875,99.04000091552734,81.43000030517578,290.9200134277344
2019-03-12,117.1502456665039,98.58999633789062,78.55000305175781,283.3599853515625
2019-03-13,117.8782958984375,100.12999725341797,77.25,288.9599914550781
2019-03-14,117.8121109008789,98.83000183105469,76.06999969482422,289.9599914550781
2019-03-15,118.48342895507812,98.9800033569336,77.08999633789062,275.42999267578125
2019-03-18,119.02237701416016,99.66000366210938,79.08999633789062,269.489990234375
2019-03-19,118.45507049560547,97.51000213623047,80.5999984741211,267.4700012207031
2019-03-20,117.89720916748047,97.02999877929688,81.33000183105469,273.6000061035156
2019-03-21,119.00347137451172,104.87999725341797,81.37000274658203,274.0199890136719
2019-03-22,116.38436889648438,102.33999633789062,79.51000213623047,264.5299987792969
2019-03-25,116.19526672363281,101.7300033569336,82.77999877929688,260.4200134277344
2019-03-26,117.3676986694336,102.31999969482422,84.08999633789062,267.7699890136719
2019-03-27,116.1007080078125,100.66999816894531,84.81999969482422,274.8299865722656
2019-03-28,116.31818389892578,102.19999694824219,86.2699966430664,278.6199951171875
2019-03-29,116.46947479248047,101.62999725341797,90.08999633789062,279.8599853515625
2019-04-01,118.13359069824219,102.66999816894531,89.04000091552734,289.17999267578125
2019-04-02,118.12413024902344,100.83999633789062,88.41999816894531,285.8800048828125
2019-04-03,117.14079284667969,100.1500015258789,88.43000030517578,291.80999755859375
2019-04-04,118.00121307373047,97.94000244140625,88.79000091552734,267.7799987792969
2019-04-05,119.53296661376953,99.43000030517578,88.94000244140625,274.9599914550781
2019-04-08,119.77880096435547,97.94999694824219,89.25,273.20001220703125
2019-04-09,118.7009048461914,98.25,90.98999786376953,272.30999755859375
2019-04-10,118.65361785888672,99.62999725341797,90.66999816894531,276.05999755859375
2019-04-11,119.12638092041016,100.58000183105469,90.58999633789062,268.4200134277344
2019-04-12,113.23579406738281,101.83000183105469,90.87000274658203,267.70001220703125
