,CVX,MPC,PSX,XOM
2018-12-31,101.83966827392578,55.31446838378906,81.29618072509766,62.93212127685547
2019-01-02,103.6182861328125,55.90502166748047,83.15518188476562,64.31645965576172
2019-01-03,101.63372802734375,55.089500427246094,82.00392150878906,63.32896041870117
2019-01-04,103.73997497558594,57.78914260864258,85.72193145751953,65.66388702392578
2019-01-07,105.0879898071289,58.360939025878906,86.31643676757812,66.00535583496094
2019-01-08,104.62928771972656,58.9327392578125,86.2409439086914,66.4852523803711
2019-01-09,106.033447265625,60.19819641113281,86.80713653564453,66.8359603881836
2019-01-10,106.20195007324219,59.645145416259766,87.70362091064453,66.49449157714844
2019-01-11,105.35009765625,60.80748748779297,87.46770477294922,66.18994140625
2019-01-14,104.58247375488281,60.81686019897461,87.59981536865234,66.10688018798828
2019-01-15,104.9569320678711,60.30130386352539,87.24121856689453,66.14378356933594
2019-01-16,104.28292846679688,60.31067657470703,87.75080108642578,66.11609649658203
2019-01-17,104.80714416503906,61.669864654541016,88.15657043457031,66.56830596923828
2019-01-18,107.06317901611328,61.95107650756836,89.93065643310547,67.36201477050781
2019-01-22,105.16287231445312,60.7606201171875,87.76023864746094,66.34681701660156
2019-01-23,104.27356719970703,60.78873825073242,87.41108703613281,65.80232238769531
2019-01-24,106.25812530517578,59.15770721435547,86.184326171875,65.89460754394531
2019-01-25,105.98664093017578,60.066959381103516,87.77909851074219,66.18994140625
2019-01-28,105.00373077392578,59.72950744628906,87.28839874267578,65.7469482421875
2019-01-29,104.68545532226562,60.12320327758789,88.09051513671875,65.9961166381836
2019-01-30,105.79007720947266,61.238685607910156,89.20403289794922,66.71598815917969
2019-01-31,107.32527923583984,62.11043930053711,90.03445434570312,67.629638671875
2019-02-01,110.80763244628906,61.36991500854492,88.90206146240234,70.06608581542969
2019-02-04,112.09010314941406,61.78235626220703,89.42107391357422,69.05089569091797
2019-02-05,111.84672546386719,62.97282409667969,89.80796813964844,69.76152801513672
2019-02-06,111.28504943847656,62.6822395324707,89.10022735595703,69.45698547363281
2019-02-07,110.67657470703125,59.710758209228516,86.57122802734375,68.92169189453125
2019-02-08,110.06809997558594,58.792137145996094,88.25093078613281,69.03368377685547
2019-02-11,109.47834777832031,57.85475158691406,88.92093658447266,69.1456527709961
2019-02-12,111.13525390625,57.995361328125,88.70388793945312,70.35873413085938
2019-02-13,111.93096160888672,59.66389083862305,90.70446014404297,71.15190124511719
2019-02-14,111.72293853759766,60.02946472167969,90.26092529296875,71.17057037353516
2019-02-15,112.84811401367188,61.069950103759766,91.34578704833984,72.5142822265625
2019-02-19,112.81029510498047,61.438533782958984,92.06900787353516,72.99951934814453
2019-02-20,113.72744750976562,61.53303527832031,92.73513793945312,73.27945709228516
2019-02-21,112.64955139160156,61.107757568359375,92.1260986328125,72.61693572998047
2019-02-22,112.88593292236328,61.447975158691406,92.64949798583984,73.17681121826172
2019-02-25,113.10342407226562,61.192813873291016,92.58287811279297,73.25147247314453
2019-02-26,113.4059829711914,61.041595458984375,93.10626220703125,73.40077209472656
2019-02-27,113.5383529663086,59.9169807434082,92.91593933105469,74.1566162109375
2019-02-28,113.06558990478516,58.60333251953125,91.6978759765625,73.74603271484375
2019-03-01,115.38211059570312,59.23653030395508,92.76367950439453,74.65116882324219
2019-03-04,115.46721649169922,58.60333251953125,92.57335662841797,74.94044494628906
2019-03-05,116.57347106933594,57.469268798828125,92.74464416503906,74.82847595214844
2019-03-06,116.80039978027344,56.637611389160156,92.87788391113281,73.97930908203125
2019-03-07,115.2970199584961,55.60749053955078,91.78351593017578,74.80048370361328
2019-03-08,114.99445343017578,54.34110641479492,89.74705505371094,73.72737121582031
2019-03-11,116.885498046875,55.947715759277344,91.99288177490234,74.44588470458984
2019-03-12,117.1502456665039,55.62639236450195,92.67803955078125,74.65116882324219
2019-03-13,117.8782958984375,56.297386169433594,93.33466339111328,75.31371307373047
2019-03-14,117.8121109008789,56.41079330444336,93.70579528808594,75.06175994873047
2019-03-15,118.48342895507812,57.12904357910156,93.75335693359375,74.79115295410156
2019-03-18,119.02237701416016,58.66949462890625,93.94369506835938,75.65896606445312
2019-03-19,118.45507049560547,58.62223815917969,94.10546875,75.4630126953125
2019-03-20,117.89720916748047,58.7734489440918,93.42981719970703,75.88291931152344
2019-03-21,119.00347137451172,59.34048843383789,93.78192138671875,76.32149505615234
2019-03-22,116.38436889648438,57.932342529296875,91.33625793457031,75.09909057617188
2019-03-25,116.19526672363281,57.80948257446289,91.2220687866211,74.57652282714844
2019-03-26,117.3676986694336,58.556087493896484,93.27754974365234,75.54698944091797
2019-03-27,116.1007080078125,58.7734489440918,92.56383514404297,74.96843719482422
2019-03-28,116.31818389892578,57.6015739440918,91.041259765625,75.3416976928711
2019-03-29,116.46947479248047,56.5620002746582,90.5654525756836,75.39768981933594
2019-04-01,118.13359069824219,57.696075439453125,90.47029113769531,76.26551818847656
2019-04-02,118.12413024902344,56.62815856933594,89.9468994140625,75.93891143798828
2019-04-03,117.14079284667969,57.06288528442383,90.44173431396484,75.49100494384766
2019-04-04,118.00121307373047,57.97959899902344,92.17369842529297,76.56412506103516
2019-04-05,119.53296661376953,59.98312759399414,93.0586929321289,76.97468566894531
2019-04-08,119.77880096435547,59.879173278808594,93.54401397705078,77.45059204101562
2019-04-09,118.7009048461914,58.74509811401367,92.65901184082031,76.45213317871094
2019-04-10,118.65361785888672,60.105987548828125,93.83900451660156,76.10687255859375
2019-04-11,119.12638092041016,59.64291000366211,93.74385070800781,76.4708023071289
2019-04-12,113.23579406738281,58.20641326904297,92.46868896484375,75.5096664428711
2019-04-15,113.59507751464844,57.21409606933594,91.58367919921875,75.25772094726562
2019-04-16,114.56896209716797,56.7226676940918,91.33625793457031,75.77094268798828
2019-04-17,113.71798706054688,56.93057632446289,91.79302978515625,75.9855728149414
2019-04-18,113.33032989501953,56.524200439453125,90.80335235595703,75.70563507080078
2019-04-22,115.25920104980469,57.77168273925781,92.44013214111328,77.3572769165039
2019-04-23,115.3726577758789,57.705535888671875,92.68755340576172,77.80519104003906
2019-04-24,111.83641052246094,56.231231689453125,89.718505859375,76.29350280761719
2019-04-25,111.47710418701172,57.318058013916016,90.61302947998047,76.72274780273438
2019-04-26,110.7206802368164,57.07233428955078,90.3275375366211,75.10840606689453
2019-04-29,111.30691528320312,57.639373779296875,90.74626159667969,74.62318420410156
2019-04-30,113.5194320678711,57.52596664428711,89.70899200439453,74.9124526977539
2019-05-01,111.39200592041016,56.65650939941406,87.39656066894531,73.41009521484375
2019-05-02,110.03990936279297,55.465728759765625,84.78913116455078,72.12237548828125
2019-05-03,110.88142395019531,56.66595458984375,85.22687530517578,72.29032897949219
2019-05-06,111.94987487792969,56.22178268432617,82.81928253173828,71.97306060791016
2019-05-07,111.82695007324219,56.165077209472656,82.36250305175781,71.5904769897461
2019-05-08,111.0988998413086,52.1958122253418,81.74396514892578,71.70244598388672
2019-05-09,114.58788299560547,50.05051803588867,81.6012191772461,71.63713073730469
2019-05-10,115.34429931640625,50.23008346557617,82.45767211914062,72.26006317138672
2019-05-13,113.87874603271484,47.93357849121094,81.6392822265625,71.45780944824219
2019-05-14,115.01336669921875,48.491172790527344,82.71460723876953,71.55219268798828
2019-05-15,115.48612976074219,48.88268280029297,83.07622528076172,72.08074188232422
2019-05-16,115.34291076660156,50.4774169921875,84.02783966064453,72.07130432128906
2019-05-17,115.07554626464844,49.608428955078125,81.53776550292969,71.64657592773438
2019-05-20,115.38108825683594,49.77076721191406,81.25894927978516,71.63713836669922
2019-05-21,115.85850524902344,50.878482818603516,82.83567810058594,71.96747589111328
2019-05-22,115.123291015625,49.57978439331055,82.29728698730469,71.31623840332031
2019-05-23,112.54527282714844,47.88001251220703,79.09576416015625,69.64564514160156
2019-05-24,113.34732055664062,48.023250579833984,79.73992156982422,69.938232421875
2019-05-28,112.96538543701172,46.79139709472656,79.33612060546875,68.53191375732422
2019-05-29,111.49494934082031,46.7818489074707,79.55724334716797,68.10719299316406
2019-05-30,110.1677474975586,44.98659133911133,78.89386749267578,67.92787170410156
2019-05-31,108.70686340332031,43.91706848144531,77.68248748779297,66.79524993896484
2019-06-03,110.75018310546875,45.00568389892578,79.0284652709961,67.84291076660156
2019-06-04,112.00101470947266,46.304386138916016,80.87439727783203,69.45687103271484
2019-06-05,112.335205078125,45.540443420410156,81.55699157714844,68.88114166259766
2019-06-06,115.22831726074219,45.93196487426758,81.62429809570312,70.13643646240234
2019-06-07,115.99217987060547,44.87199783325195,82.22037506103516,70.39127349853516
2019-06-10,116.76558685302734,45.5308952331543,82.5857162475586,70.70274353027344
2019-06-11,115.69618225097656,45.616844177246094,81.44161987304688,70.63667297363281
2019-06-12,114.76045227050781,44.85289764404297,80.03795623779297,69.8721694946289
